Latitude, Longitude, Street
40.292476, -74.685022, "Quakerbridge Mall"
40.297590, -74.678842, "Quakerbridge Rd"
40.302033, -74.673639, "Nassau Park Blvd"
40.309740, -74.664316, "Emmons Dr"
40.312644, -74.660636, "Meadow Rd"
40.314444, -74.658480, "Carnegie Center Dr"
40.317913, -74.654424, "Carnegie Center Blvd"
40.327001, -74.643405, "Alexander Rd"
40.331450, -74.637976, "Washington Rd (571)"
40.337354, -74.630948, "Lower Harrison St / Union Rd"
40.339774, -74.627880, "Mapleton Rd / Plainsboro Rd"

