"Crash.Date","Crash.Day.Of.Week","Crash.Time","Driver.DOB","Driver.Sex","County.Name","Municipality.Name","Total.Killed","Total.Injured","Total.Vehicles.Involve","Alcohol.Involved","Alcohol.Test.Given","Alcohol.Test.Results","Cell.Phone.In.Use.Flag","Crash.Location","Cross.Street.Name","Latitude","Longitude","Year","Driver.Age","Crash.Hour","Crash.Weekday","Crash.Weekend"
"03/16/2003","S","13:54","07/14/1959","M","MERCER","PRINCETON BORO",1,0,1,"N","N",NA,"N","NJ 27","LINDEN LANE",40.35277,-74.64943,2003,43,13,FALSE,FALSE
"10/10/2003","F","01:38","06/05/1948","M","MERCER","PRINCETON TWP",1,0,2,"N","Y",NA,"N","NJ 27","POE ROAD",40.36563,-74.6274,2003,55,1,FALSE,FALSE
"10/10/2003","F","01:38","06/15/1964","M","MERCER","PRINCETON TWP",1,0,2,"N","Y",NA,"N","NJ 27","POE ROAD",40.36563,-74.6274,2003,39,1,FALSE,FALSE
"02/23/2003","S","19:13","09/15/1981","F","MERCER","WEST WINDSOR TWP",1,4,2,"N","N",NA,"N","ROUTE 535","",40.28069,-74.57152,2003,21,19,FALSE,FALSE
"02/23/2003","S","19:13","01/14/1960","M","MERCER","WEST WINDSOR TWP",1,4,2,"N","N",NA,"N","ROUTE 535","",40.28069,-74.57152,2003,43,19,FALSE,FALSE
"11/04/2004","TH","14:09","08/07/1930","M","MERCER","PRINCETON BORO",1,0,1,"N","Y",NA,"N","SNOWDEN LANE","WHEATSHEAF LANE",40.35789,-74.64057,2004,74,14,TRUE,FALSE
"08/12/2004","TH","12:48","03/28/1956","M","MERCER","WEST WINDSOR TWP",1,0,1,"N","Y",NA,"N","ROUTE 571","MANOR AVENUE",40.32596,-74.63088,2004,48,12,TRUE,FALSE
"01/11/2005","TU","15:37","02/05/1947","F","MERCER","PRINCETON TWP",1,1,2,"N","N",NA,"N","US 206","HUTCHINSON DRIVE",40.33204,-74.68591,2005,57,15,TRUE,FALSE
"01/11/2005","TU","15:37","04/22/1958","F","MERCER","PRINCETON TWP",1,1,2,"N","N",NA,"N","US 206","HUTCHINSON DRIVE",40.33204,-74.68591,2005,46,15,TRUE,FALSE
"07/31/2005","S","20:03","08/03/1982","M","MERCER","WEST WINDSOR TWP",1,0,1,"N","N",NA,"N","HASKELL DRIVE","SPRINGHILL DRIVE",40.2933,-74.64799,2005,23,20,FALSE,FALSE
"09/14/2005","W","18:33","01/09/1988","F","MERCER","WEST WINDSOR TWP",1,4,3,"N","N",NA,"N","ALEXANDER RD","CANAL ROAD",40.33194,-74.65268,2005,17,18,FALSE,FALSE
"09/14/2005","W","18:33","12/20/1975","F","MERCER","WEST WINDSOR TWP",1,4,3,"N","N",NA,"N","ALEXANDER RD","CANAL ROAD",40.33194,-74.65268,2005,29,18,FALSE,FALSE
"09/14/2005","W","18:33","06/14/1962","M","MERCER","WEST WINDSOR TWP",1,4,3,"N","N",NA,"N","ALEXANDER RD","CANAL ROAD",40.33194,-74.65268,2005,43,18,FALSE,FALSE
"11/05/2005","SA","11:54","12/18/1975","M","MERCER","WEST WINDSOR TWP",1,0,1,"N","N",NA,"N","US 1","MEADOW ROAD",40.31304,-74.6602,2005,29,11,FALSE,TRUE
"02/15/2005","TU","21:18","12/29/1939","M","MERCER","WEST WINDSOR TWP",1,1,1,"N","Y",NA,"N","ROUTE 571","ALEXANDER ROAD",40.31364,-74.61972,2005,65,21,TRUE,FALSE
"02/19/2005","SA","13:19","11/12/1970","M","MERCER","WEST WINDSOR TWP",1,2,2,"N","N",NA,"N","BAXTER PLACE","VILLAGE ROAD WEST",40.28074,-74.62728,2005,34,13,FALSE,TRUE
"02/19/2005","SA","13:19","11/27/1963","M","MERCER","WEST WINDSOR TWP",1,2,2,"N","N",NA,"N","BAXTER PLACE","VILLAGE ROAD WEST",40.28074,-74.62728,2005,41,13,FALSE,TRUE
"01/03/2006","TU","09:20","01/20/1945","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","WITHERSPOON STREET",40.34966,-74.65972,2006,60,9,TRUE,FALSE
"01/03/2006","TU","09:20","          "," ","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","WITHERSPOON STREET",40.34966,-74.65972,2006,NA,9,TRUE,FALSE
"02/08/2006","W","00:22","          "," ","MERCER","PRINCETON BORO",0,0,2,"N"," ",NA,"N","UNIVERSITY PLACE","DICKINSON STREET",40.34564,-74.66082,2006,NA,0,FALSE,FALSE
"02/08/2006","W","00:22","07/07/1962","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","UNIVERSITY PLACE","DICKINSON STREET",40.34564,-74.66082,2006,43,0,FALSE,FALSE
"01/23/2006","M","07:37","07/03/1976","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","WITHERSPOON ST","RT 27",40.34979,-74.6598,2006,29,7,FALSE,FALSE
"01/23/2006","M","07:37","05/14/1944","M","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","WITHERSPOON ST","RT 27",40.34979,-74.6598,2006,61,7,FALSE,FALSE
"08/07/2006","M","15:41","02/28/1968","M","MERCER","PRINCETON BORO",0,0,1,"N","N",NA,"N","UNIVERSITY PLACE","ALEXANDER STREET",40.34302,-74.6607,2006,38,15,FALSE,FALSE
"10/17/2006","TU","16:00","10/17/1962","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","CR 604",40.34463,-74.67027,2006,44,16,TRUE,FALSE
"10/17/2006","TU","16:00","11/04/1971","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","US 206","CR 604",40.34463,-74.67027,2006,34,16,TRUE,FALSE
"06/30/2006","F","20:39","01/08/1959","F","MERCER","PRINCETON BORO",0,0,2,"N","N",NA,"N","NJ 27","VANDEVENTER AVENUE",40.35025,-74.65756,2006,47,20,FALSE,FALSE
