"Latitude","Longitude"
40.12461,-74.68752
40.12461,-74.68752
40.11127,-74.77227
40.11127,-74.77227
40.11127,-74.77227
40.10665,-74.71995
40.10665,-74.71995
40.26721,-74.4858
40.26721,-74.4858
40.24412,-74.75895
40.22884,-74.68727
40.22884,-74.68727
40.15623,-74.63393
40.18812,-74.70133
40.18812,-74.70133
40.22874,-74.66785
40.19067,-74.69368
40.19067,-74.69368
40.19067,-74.69368
40.18466,-74.73177
40.20076,-74.65616
40.20076,-74.65616
40.20076,-74.65616
40.20076,-74.65616
40.20076,-74.65616
40.20076,-74.65616
40.18367,-74.61797
40.18367,-74.61797
40.32159,-74.79966
40.32159,-74.79966
40.33361,-74.71838
40.26665,-74.71519
40.26665,-74.71519
40.25076,-74.74238
40.35277,-74.64943
40.36563,-74.6274
40.36563,-74.6274
40.23803,-74.77721
40.2065,-74.75471
40.2065,-74.75471
40.22781,-74.74081
40.20502,-74.7604
40.23301,-74.79633
40.20075,-74.75879
40.22452,-74.60739
40.20576,-74.58302
40.28069,-74.57152
40.28069,-74.57152
40.32657,-74.50665
40.32657,-74.50665
40.28678,-74.50154
40.28678,-74.50154
40.28678,-74.50154
40.28678,-74.50154
40.4633,-74.40428
40.45478,-74.39991
40.45478,-74.39991
40.43946,-74.38905
40.45342,-74.39922
40.45342,-74.39922
40.42846,-74.38459
40.42846,-74.38459
40.33031,-74.36107
40.33031,-74.36107
40.38793,-74.30792
40.38396,-74.32984
40.38396,-74.32984
40.40402,-74.3235
40.40402,-74.3235
40.3559,-74.47075
40.48503,-74.42075
40.48692,-74.46806
40.48692,-74.46806
40.49099,-74.41317
40.49099,-74.41317
40.44474,-74.46858
40.44474,-74.46858
40.42455,-74.49605
40.34744,-74.58929
40.33911,-74.6287
40.33911,-74.6287
40.38694,-74.57048
40.38694,-74.57048
40.35712,-74.49502
40.35712,-74.49502
40.43776,-74.5257
40.43776,-74.5257
40.33283,-74.52454
40.33283,-74.52454
40.42878,-74.5194
40.38254,-74.5024
40.38254,-74.5024
40.19036,-74.3583
40.17936,-74.34869
40.17936,-74.34869
40.17936,-74.34869
40.25456,-74.37305
40.28526,-74.35569
40.28526,-74.35569
40.28526,-74.35569
40.2922,-74.30476
40.2922,-74.30476
40.31245,-74.36107
40.34214,-74.30804
40.16017,-74.42474
40.16368,-74.4351
40.10875,-74.34931
40.15728,-74.42816
40.15728,-74.42816
40.15728,-74.42816
40.49662,-74.52706
40.48916,-74.65054
40.48916,-74.65054
40.48916,-74.65054
40.14377,-74.70212
40.13676,-74.71223
40.13676,-74.71223
40.13676,-74.71223
40.14206,-74.68332
40.15024,-74.66745
40.15024,-74.66745
40.11144,-74.81095
40.11144,-74.81095
40.1135,-74.76654
40.11892,-74.75238
40.4937,-74.84393
40.4937,-74.84393
40.28302,-74.52864
40.28302,-74.52864
40.24202,-74.52655
40.24202,-74.52655
40.23513,-74.53871
40.23513,-74.53871
40.24598,-74.78145
40.24598,-74.78145
40.26294,-74.78148
40.17445,-74.67802
40.18753,-74.65493
40.18753,-74.65493
40.18753,-74.65493
40.18753,-74.65493
40.23801,-74.71009
40.18521,-74.69809
40.18521,-74.69809
40.18521,-74.69809
40.18909,-74.72006
40.18109,-74.62254
40.18109,-74.62254
40.36633,-74.86453
40.36633,-74.86453
40.33115,-74.92538
40.29826,-74.78331
40.29826,-74.78331
40.29826,-74.78331
40.29826,-74.78331
40.29016,-74.7867
40.29016,-74.7867
40.32842,-74.92251
40.32842,-74.92251
40.32318,-74.69701
40.32318,-74.69701
40.35789,-74.64057
40.21187,-74.75308
40.22899,-74.78968
40.22159,-74.7757
40.22378,-74.77646
40.22378,-74.77646
40.22378,-74.77646
40.20192,-74.74206
40.20192,-74.74206
40.20192,-74.74206
40.24704,-74.5698
40.24704,-74.5698
40.32596,-74.63088
40.33617,-74.54441
40.41735,-74.3722
40.42407,-74.47714
40.42407,-74.47714
40.47656,-74.40534
40.44786,-74.4238
40.44786,-74.4238
40.44786,-74.4238
40.40067,-74.34984
40.40067,-74.34984
40.39423,-74.34272
40.405,-74.30555
40.40185,-74.31206
40.3916,-74.30791
40.3916,-74.30791
40.3916,-74.30791
40.38029,-74.30776
40.45221,-74.31217
40.44271,-74.42684
40.44271,-74.42684
40.37594,-74.41509
40.36041,-74.36939
40.36041,-74.36939
40.45889,-74.4552
40.45889,-74.4552
40.46717,-74.45701
40.47718,-74.42446
40.47272,-74.49115
40.4624,-74.3268
40.44922,-74.35937
40.36182,-74.60112
40.36182,-74.60112
40.36549,-74.44889
40.42835,-74.52009
40.42835,-74.52009
40.32184,-74.30536
40.30216,-74.30358
40.20184,-74.37328
40.26177,-74.43462
40.26177,-74.43462
40.20946,-74.46476
40.17154,-74.54244
40.17154,-74.54244
40.45063,-74.5211
40.45063,-74.5211
40.48954,-74.50952
40.43753,-74.61915
40.14163,-74.71793
40.14515,-74.70169
40.11786,-74.70802
40.11786,-74.70802
40.11548,-74.8251
40.11548,-74.8251
40.11548,-74.8251
40.10656,-74.73917
40.10656,-74.73917
40.10656,-74.73917
40.49569,-74.86313
40.28473,-74.56176
40.26893,-74.49984
40.24383,-74.82449
40.24383,-74.82449
40.24383,-74.82449
40.24071,-74.77002
40.24868,-74.77142
40.25465,-74.77748
40.18825,-74.70414
40.19208,-74.64758
40.19208,-74.64758
40.21266,-74.68466
40.20367,-74.71896
40.20367,-74.71896
40.23253,-74.72472
40.19719,-74.71413
40.19719,-74.71413
40.19316,-74.68268
40.19316,-74.68268
40.19316,-74.68268
40.1903,-74.7508
40.19021,-74.74802
40.26953,-74.52317
40.27105,-74.5318
40.27105,-74.5318
40.27146,-74.73672
40.2805,-74.69955
40.2805,-74.69955
40.2805,-74.69955
40.2805,-74.69955
40.2805,-74.69955
40.2805,-74.69955
40.28191,-74.69399
40.33204,-74.68591
40.33204,-74.68591
40.2415,-74.73915
40.22073,-74.74663
40.22151,-74.77555
40.22151,-74.77555
40.23957,-74.58027
40.23957,-74.58027
40.24363,-74.5834
40.22802,-74.55064
40.22802,-74.55064
40.22802,-74.55064
40.22802,-74.55064
40.22802,-74.55064
40.19511,-74.59849
40.19511,-74.59849
40.2933,-74.64799
40.33194,-74.65268
40.33194,-74.65268
40.33194,-74.65268
40.31304,-74.6602
40.31364,-74.61972
40.28074,-74.62728
40.28074,-74.62728
40.31795,-74.50828
40.2916,-74.54807
40.2916,-74.54807
40.33352,-74.52821
40.40904,-74.36097
40.38029,-74.30776
40.38029,-74.30776
40.42817,-74.30317
40.42817,-74.30317
40.42817,-74.30317
40.45337,-74.4245
40.45337,-74.4245
40.43756,-74.43031
40.43756,-74.43031
40.31785,-74.43854
40.31785,-74.43854
40.49043,-74.43764
40.48391,-74.4176
40.48391,-74.4176
40.46281,-74.45514
40.46281,-74.45514
40.45022,-74.49329
40.45022,-74.49329
40.45022,-74.49329
40.43895,-74.50695
40.43895,-74.50695
40.49098,-74.30107
40.34062,-74.48405
40.34062,-74.48405
40.35621,-74.48707
40.35621,-74.48707
40.34589,-74.48132
40.34589,-74.48132
40.34589,-74.48132
40.39828,-74.55666
40.39828,-74.55666
40.39828,-74.55666
40.25664,-74.31553
40.25664,-74.31553
40.17936,-74.34869
40.17936,-74.34869
40.19709,-74.37147
40.19709,-74.37147
40.2223,-74.33272
40.34287,-74.30802
40.1732,-74.48969
40.1732,-74.48969
40.1727,-74.54987
40.14925,-74.3475
40.10904,-74.33857
40.13304,-74.34984
40.44823,-74.55748
40.14416,-74.702
40.14416,-74.702
40.14827,-74.70079
40.14827,-74.70079
40.14416,-74.702
40.14416,-74.702
40.14458,-74.70186
40.14458,-74.70186
40.1436,-74.70217
40.1436,-74.70217
40.1479,-74.71316
40.1479,-74.71316
40.14515,-74.70169
40.14515,-74.70169
40.1443,-74.70195
40.1443,-74.70195
40.14515,-74.70169
40.14515,-74.70169
40.14427,-74.71037
40.14427,-74.71037
40.14427,-74.71037
40.14427,-74.71037
40.1479,-74.71316
40.1479,-74.71316
40.1436,-74.70217
40.1436,-74.70217
40.1504,-74.71012
40.14473,-74.70182
40.14543,-74.70203
40.14543,-74.70203
40.14502,-74.71095
40.14502,-74.71095
40.14416,-74.702
40.14416,-74.702
40.14416,-74.702
40.14416,-74.702
40.14458,-74.70186
40.14458,-74.70186
40.15005,-74.71074
40.15005,-74.71074
40.14568,-74.70313
40.14502,-74.71095
40.14502,-74.71095
40.14624,-74.70625
40.14302,-74.7094
40.14302,-74.7094
40.14515,-74.71105
40.14515,-74.71105
40.14331,-74.70226
40.14331,-74.70226
40.14331,-74.70226
40.14331,-74.70226
40.14473,-74.70182
40.14473,-74.70182
40.14501,-74.70173
40.14501,-74.70173
40.14427,-74.71037
40.14427,-74.71037
40.14331,-74.70226
40.14331,-74.70226
40.14416,-74.702
40.14416,-74.702
40.14515,-74.71105
40.14515,-74.71105
40.14427,-74.71037
40.14427,-74.71037
40.14414,-74.71026
40.14414,-74.71026
40.14416,-74.702
40.14625,-74.70889
40.14177,-74.70842
40.14501,-74.70173
40.14501,-74.70173
40.14501,-74.70173
40.14515,-74.70169
40.14515,-74.70169
40.14515,-74.70169
40.14515,-74.70169
40.14416,-74.702
40.14416,-74.702
40.14416,-74.702
40.14416,-74.702
40.14331,-74.70226
40.14331,-74.70226
40.14366,-74.7114
40.14366,-74.7114
40.1486,-74.71384
40.1486,-74.71384
40.14452,-74.71056
40.14452,-74.71056
40.14815,-74.71335
40.14815,-74.71335
40.14331,-74.70226
40.14331,-74.70226
40.14815,-74.71335
40.14815,-74.71335
40.14501,-74.70173
40.14501,-74.70173
40.14501,-74.70173
40.14602,-74.71172
40.14602,-74.71172
40.14602,-74.71172
40.13505,-74.71617
40.13885,-74.70813
40.13885,-74.70813
40.13885,-74.70813
40.13885,-74.70813
40.13584,-74.71416
40.13571,-74.71449
40.127,-74.68934
40.127,-74.68934
40.14897,-74.70057
40.14897,-74.70057
40.1366,-74.71254
40.12983,-74.72948
40.12983,-74.72948
40.17221,-74.68149
40.13885,-74.70813
40.13885,-74.70813
40.12461,-74.68752
40.12461,-74.68752
40.12915,-74.70527
40.12915,-74.70527
40.14883,-74.70061
40.14883,-74.70061
40.13852,-74.70877
40.13852,-74.70877
40.16833,-74.69968
40.16833,-74.69968
40.16154,-74.69204
40.16154,-74.69204
40.15156,-74.69938
40.13642,-74.70426
40.13642,-74.70426
40.16599,-74.69992
40.13642,-74.70426
40.13642,-74.70426
40.14331,-74.70226
40.14331,-74.70226
40.14478,-74.69836
40.14478,-74.69836
40.12461,-74.68752
40.12461,-74.68752
40.17221,-74.68149
40.17221,-74.68149
40.17221,-74.68149
40.17221,-74.68149
40.1565,-74.7004
40.1565,-74.7004
40.12841,-74.71567
40.12841,-74.71567
40.11936,-74.7093
40.11936,-74.7093
40.13749,-74.70374
40.13749,-74.70374
40.13852,-74.70877
40.13852,-74.70877
40.17718,-74.70309
40.17718,-74.70309
40.12035,-74.70657
40.12035,-74.70657
40.12943,-74.73049
40.12064,-74.70658
40.12064,-74.70658
40.13108,-74.72627
40.11971,-74.70675
40.11971,-74.70675
40.1372,-74.7038
40.1372,-74.7038
40.1202,-74.71034
40.1202,-74.71034
40.1202,-74.71034
40.12739,-74.7357
40.12739,-74.7357
40.15078,-74.69987
40.12996,-74.6948
40.13044,-74.70499
40.13044,-74.70499
40.12796,-74.737
40.12796,-74.737
40.12643,-74.70585
40.12643,-74.70585
40.15078,-74.69987
40.15078,-74.69987
40.12138,-74.70658
40.12138,-74.70658
40.12138,-74.70658
40.12138,-74.70658
40.1622,-74.70027
40.1622,-74.70027
40.14132,-74.7037
40.14132,-74.7037
40.17124,-74.69938
40.16869,-74.68626
40.16869,-74.68626
40.17935,-74.70418
40.17935,-74.70418
40.13227,-74.72325
40.13227,-74.72325
40.14132,-74.7037
40.14132,-74.7037
40.14132,-74.7037
40.14132,-74.7037
40.12094,-74.70658
40.12094,-74.70658
40.12094,-74.70658
40.13597,-74.71383
40.12929,-74.70524
40.12929,-74.70524
40.12929,-74.70524
40.12461,-74.68752
40.12461,-74.68752
40.12461,-74.68752
40.12901,-74.7053
40.12901,-74.7053
40.13735,-74.70377
40.13735,-74.70377
40.13162,-74.72452
40.13162,-74.72452
40.18226,-74.70459
40.18226,-74.70459
40.13221,-74.72341
40.13221,-74.72341
40.12021,-74.70657
40.12021,-74.70657
40.13978,-74.70688
40.13978,-74.70688
40.13893,-74.70797
40.13893,-74.70797
40.13764,-74.70371
40.13764,-74.70371
40.13756,-74.71065
40.13756,-74.71065
40.13108,-74.72627
40.12166,-74.70658
40.12166,-74.70658
40.13666,-74.70445
40.13666,-74.70445
40.15462,-74.70006
40.15462,-74.70006
40.14377,-74.70212
40.14377,-74.70212
40.14132,-74.7037
40.14132,-74.7037
40.13551,-74.715
40.15462,-74.70006
