"Driver.Age.Mean","Driver.Age.Median","Driver.Age.Sum","Total.Injured.Mean","Total.Injured.Median","Total.Injured.Sum","Total.Killed.Mean","Total.Killed.Median","Total.Killed.Sum","Total.Vehicles.Involve.Mean","Total.Vehicles.Involve.Median","Total.Vehicles.Involve.Sum","Crash.Hour.Mean","Crash.Hour.Median","Crash.Hour.Sum","Driver.Sex.M","Driver.Sex.F","Driver.Sex.M.pct","Driver.Sex.F.pct","Alcohol.Involved.Y","Alcohol.Involved.N","Alcohol.Involved.Y.pct","Alcohol.Involved.N.pct","Cell.Phone.In.Use.Flag.Y","Cell.Phone.In.Use.Flag.N","Cell.Phone.In.Use.Flag.Y.pct","Cell.Phone.In.Use.Flag.N.pct","Crash.Day.Of.Week.M","Crash.Day.Of.Week.TU","Crash.Day.Of.Week.W","Crash.Day.Of.Week.TH","Crash.Day.Of.Week.F","Crash.Day.Of.Week.SA","Crash.Day.Of.Week.S","Crash.Day.Of.Week.M.pct","Crash.Day.Of.Week.TU.pct","Crash.Day.Of.Week.W.pct","Crash.Day.Of.Week.TH.pct","Crash.Day.Of.Week.F.pct","Crash.Day.Of.Week.SA.pct","Crash.Day.Of.Week.S.pct","Crash.Weekend.TRUE","Crash.Weekend.FALSE","Crash.Weekend.TRUE.pct","Crash.Weekend.FALSE.pct","Crash.Weekday.TRUE","Crash.Weekday.FALSE","Crash.Weekday.TRUE.pct","Crash.Weekday.FALSE.pct","Latitude","Longitude","Crash.Count","Crash.Count.Rank"
40.7610474631751,40,24905,0.256735340729002,0,162,0,0,0,2.13946117274168,2,1350,12.660777385159,13,7166,366,249,59.5122,40.4878,7,624,1.1094,98.8906,0,631,0,100,80,117,76,104,120,73,61,12.6783,18.542,12.0444,16.4818,19.0174,11.5689,9.6672,73,558,11.5689,88.4311,221,410,35.0238,64.9762,"40.3318","-74.6376",631,737880
40.504132231405,40,4901,0.305785123966942,0,37,0,0,0,2.02479338842975,2,245,13.2991452991453,13,1556,68,53,56.1983,43.8017,1,120,0.8264,99.1736,2,119,1.6529,98.3471,26,21,11,23,12,15,13,21.4876,17.3554,9.0909,19.0083,9.9174,12.3967,10.7438,15,106,12.3967,87.6033,44,77,36.3636,63.6364,"40.3274","-74.6429",121,737879
40.1491228070175,40,4577,0.271186440677966,0,32,0.0254237288135593,0,3,2.08474576271186,2,246,13.0388349514563,13,1343,76,39,66.087,33.913,7,111,5.9322,94.0678,0,118,0,100,8,14,19,15,23,26,13,6.7797,11.8644,16.1017,12.7119,19.4915,22.0339,11.0169,26,92,22.0339,77.9661,29,89,24.5763,75.4237,"40.3377","-74.6304",118,737878
34.9814814814815,34,3778,0.21551724137931,0,25,0,0,0,2.13793103448276,2,248,13.5258620689655,14,1569,59,51,53.6364,46.3636,1,115,0.8621,99.1379,0,116,0,100,12,22,31,11,14,8,18,10.3448,18.9655,26.7241,9.4828,12.069,6.8966,15.5172,8,108,6.8966,93.1034,33,83,28.4483,71.5517,"40.298","-74.6783",116,737877
38.5631067961165,37,3972,0.104761904761905,0,11,0,0,0,1.81904761904762,2,191,13.7659574468085,13,1294,61,43,58.6538,41.3462,0,105,0,100,0,105,0,100,13,21,17,15,11,18,10,12.381,20,16.1905,14.2857,10.4762,17.1429,9.5238,18,87,17.1429,82.8571,36,69,34.2857,65.7143,"40.2981","-74.6783",105,737875.5
38.4356435643564,35,3882,0.342857142857143,0,36,0.019047619047619,0,2,2.02857142857143,2,213,13.0666666666667,13,1372,58,43,57.4257,42.5743,7,98,6.6667,93.3333,0,105,0,100,20,17,7,20,22,10,9,19.0476,16.1905,6.6667,19.0476,20.9524,9.5238,8.5714,10,95,9.5238,90.4762,37,68,35.2381,64.7619,"40.3183","-74.6539",105,737875.5
42.5052631578947,44,4038,0.28,0,28,0,0,0,2.08,2,208,13.8444444444444,16,1246,44,51,46.3158,53.6842,2,98,2,98,0,100,0,100,18,25,8,8,21,10,10,18,25,8,8,21,10,10,10,90,10,90,33,67,33,67,"40.3174","-74.6201",100,737874
44.7126436781609,45,3890,0.307692307692308,0,28,0,0,0,2.03296703296703,2,185,13.0987654320988,13,1061,45,42,51.7241,48.2759,0,91,0,100,0,91,0,100,18,17,10,24,10,8,4,19.7802,18.6813,10.989,26.3736,10.989,8.7912,4.3956,8,83,8.7912,91.2088,41,50,45.0549,54.9451,"40.2901","-74.6766",91,737873
38.641975308642,37,3130,0.30952380952381,0,26,0,0,0,2.05952380952381,2,173,14.7,16.5,1176,50,33,60.241,39.759,1,83,1.1905,98.8095,0,84,0,100,19,16,11,12,8,7,11,22.619,19.0476,13.0952,14.2857,9.5238,8.3333,13.0952,7,77,8.3333,91.6667,28,56,33.3333,66.6667,"40.3023","-74.6732",84,737872
40.1645569620253,41,3173,0.313253012048193,0,26,0,0,0,2.1566265060241,2,179,15.0526315789474,17,1144,45,37,54.878,45.122,0,83,0,100,0,83,0,100,17,13,9,9,22,8,5,20.4819,15.6627,10.8434,10.8434,26.506,9.6386,6.0241,8,75,9.6386,90.3614,22,61,26.506,73.494,"40.3124","-74.661",83,737871
